features/carat,features/clarity,features/color,features/cut,features/depth,features/table,features/x,features/y,features/z,label,id,clean_label,is_noisy,noisy_label
0.91,1,3,2,63.3,57.0,6.12,6.08,3.86,0,48,1,1,0
1.43,2,1,0,65.1,56.0,7.1,7.03,4.61,1,49,1,0,1
1.01,2,0,4,61.4,59.0,6.4,6.44,3.94,1,50,1,0,1
0.52,5,2,4,61.6,57.0,5.16,5.2,3.19,0,51,0,0,0
0.31,5,0,4,60.9,57.0,4.38,4.42,2.68,0,52,0,0,0
1.01,3,2,2,59.1,59.0,6.58,6.65,3.91,1,53,1,0,1
0.3,3,2,4,62.5,55.0,4.27,4.31,2.68,0,54,0,0,0
0.36,7,4,4,61.9,57.0,4.55,4.6,2.83,1,55,0,1,1
0.7,3,0,4,61.2,57.0,5.69,5.75,3.5,1,56,1,0,1
1.13,1,2,0,64.4,56.0,6.58,6.52,4.22,1,57,1,0,1
0.59,7,3,4,62.5,57.0,5.34,5.38,3.35,1,58,1,0,1
0.7,2,3,2,62.8,56.0,5.64,5.66,3.55,0,59,0,0,0
1.12,2,5,3,60.6,60.0,6.77,6.73,4.09,1,60,1,0,1
1.11,1,2,4,61.7,55.0,6.66,6.63,4.1,1,61,1,0,1
0.82,1,3,4,61.0,55.0,6.04,5.99,3.67,0,62,0,0,0
0.24,5,2,2,61.9,56.0,4.0,4.02,2.48,1,63,0,1,1
0.83,4,3,3,58.8,58.0,6.2,6.15,3.63,0,64,1,1,0
0.3,2,2,4,61.4,58.0,4.3,4.33,2.65,1,65,0,1,1
0.33,4,4,4,60.2,57.0,4.5,4.54,2.72,0,66,0,0,0
0.31,5,1,4,61.7,56.0,4.33,4.36,2.68,0,67,0,0,0
1.16,4,1,3,58.7,58.0,6.89,6.87,4.04,1,68,1,0,1
0.31,6,2,4,62.3,54.0,4.34,4.36,2.71,0,69,0,0,0
1.01,1,1,3,62.5,60.0,6.42,6.39,4.0,1,70,1,0,1
0.42,3,3,4,61.7,57.0,4.8,4.83,2.97,0,71,0,0,0
0.77,4,5,2,62.2,59.0,5.83,5.85,3.63,1,72,1,0,1
0.5,4,0,2,62.3,57.0,5.04,5.07,3.15,1,73,0,1,1
0.56,2,3,4,63.0,55.0,5.26,5.22,3.3,0,74,0,0,0
0.9,1,3,2,62.2,60.0,6.09,6.2,3.82,1,75,1,0,1
0.9,3,6,1,64.0,61.0,6.04,6.03,3.86,0,76,1,1,0
0.39,5,4,2,62.1,58.0,4.63,4.65,2.88,0,77,0,0,0
0.35,1,0,2,63.3,55.0,4.49,4.45,2.83,0,78,0,0,0
1.2,2,5,4,62.1,55.0,6.83,6.79,4.23,1,79,1,0,1
1.34,4,6,4,62.0,57.0,7.12,7.04,4.39,0,80,1,1,0
0.41,5,3,4,61.3,56.0,4.77,4.79,2.93,0,81,0,0,0
0.41,1,0,4,62.6,57.0,4.72,4.77,2.97,0,82,0,0,0
1.08,2,4,2,61.8,53.0,6.62,6.63,4.09,1,83,1,0,1
1.05,3,3,4,61.6,59.0,6.51,6.54,4.02,1,84,1,0,1
0.23,4,1,2,61.3,56.0,3.96,3.98,2.43,0,85,0,0,0
0.31,5,5,2,62.5,55.0,4.33,4.36,2.71,1,86,0,1,1
1.55,2,6,3,62.5,58.0,7.4,7.36,4.61,0,87,1,1,0
0.82,1,2,3,59.7,57.0,6.14,6.12,3.66,1,88,1,0,1
0.43,3,3,3,62.3,58.0,4.81,4.85,3.01,1,89,0,1,1
0.32,6,4,4,62.0,55.0,4.42,4.45,2.75,0,90,0,0,0
0.34,2,0,3,62.7,59.0,4.42,4.45,2.78,0,91,0,0,0
0.39,7,3,4,60.1,57.0,4.74,4.77,2.85,0,92,0,0,0
1.0,3,1,0,65.0,58.0,6.21,6.16,4.02,1,93,1,0,1
0.65,4,3,1,60.0,60.4,5.6,5.7,3.39,0,94,0,0,0
0.41,2,4,2,62.9,55.0,4.75,4.82,3.01,0,95,0,0,0
0.7,6,5,2,59.5,58.0,5.78,5.81,3.45,1,96,1,0,1
0.74,3,4,1,59.2,64.0,5.79,5.66,3.4,0,97,0,0,0
1.46,4,3,3,62.3,58.0,7.25,7.2,4.5,1,98,1,0,1
1.04,2,2,1,63.6,59.0,6.4,6.36,4.06,1,99,1,0,1
2.01,2,3,2,62.1,60.0,7.94,8.03,4.96,0,100,1,1,0
1.1,1,1,4,61.6,56.0,6.61,6.64,4.08,1,101,1,0,1
0.51,2,1,2,63.2,61.0,5.08,5.05,3.2,0,102,0,0,0
0.76,2,5,4,62.3,57.0,5.81,5.87,3.64,1,103,1,0,1
0.41,1,0,4,62.6,55.0,4.76,4.8,2.99,0,104,0,0,0
0.24,5,1,2,62.4,58.0,3.96,3.99,2.48,0,105,0,0,0
0.37,4,2,4,61.0,55.0,4.66,4.69,2.85,0,106,0,0,0
1.01,2,5,1,58.4,64.0,6.51,6.48,3.79,1,107,1,0,1
0.53,1,3,2,60.9,55.0,5.26,5.29,3.21,0,108,0,0,0
0.52,2,2,4,61.5,57.0,5.12,5.16,3.16,0,109,0,0,0
0.53,3,4,4,61.6,55.0,5.23,5.25,3.23,0,110,0,0,0
1.55,3,4,2,61.3,61.0,7.39,7.46,4.55,1,111,1,0,1
1.0,3,1,2,62.4,62.0,6.33,6.39,3.97,0,112,1,1,0
0.41,5,0,4,62.1,56.0,4.78,4.76,2.96,0,113,0,0,0
1.03,1,0,4,61.8,54.0,6.52,6.46,4.01,1,114,1,0,1
0.5,3,0,2,60.8,56.0,5.14,5.16,3.13,0,115,0,0,0
0.51,5,3,4,61.3,57.0,5.12,5.15,3.15,1,116,0,1,1
0.5,3,2,1,63.3,57.0,5.01,5.07,3.19,0,117,0,0,0
0.57,4,1,4,61.3,57.0,5.34,5.37,3.28,0,118,0,0,0
0.53,5,3,4,62.2,54.0,5.17,5.22,3.23,1,119,0,1,1
1.08,1,2,3,60.2,59.0,6.65,6.6,3.99,1,120,1,0,1
2.03,1,6,3,60.9,60.0,8.21,8.1,4.97,1,121,1,0,1
0.23,5,4,3,59.2,61.0,4.04,4.0,2.38,0,122,0,0,0
2.01,1,2,4,62.9,56.0,8.05,7.9,5.02,1,123,1,0,1
0.5,3,1,3,61.0,59.0,5.13,5.07,3.11,0,124,0,0,0
0.31,6,2,4,62.1,54.0,4.35,4.38,2.71,0,125,0,0,0
0.3,7,3,4,62.4,55.0,4.32,4.34,2.7,0,126,0,0,0
0.72,3,4,4,61.2,57.0,5.79,5.77,3.54,1,127,1,0,1
1.38,1,3,3,58.3,59.0,7.34,7.27,4.26,1,128,1,0,1
1.54,3,3,3,61.8,58.0,7.43,7.39,4.58,1,129,1,0,1
0.32,3,2,4,61.9,57.0,4.36,4.37,2.71,1,130,0,1,1
0.31,2,0,4,61.8,56.0,4.34,4.37,2.69,0,131,0,0,0
1.26,3,2,2,61.4,59.0,6.86,6.96,4.24,1,132,1,0,1
0.4,3,0,1,63.5,55.0,4.66,4.69,2.97,0,133,0,0,0
2.06,1,3,3,61.8,58.0,8.15,8.1,5.02,1,134,1,0,1
0.72,4,2,4,61.7,57.0,5.77,5.74,3.55,1,135,1,0,1
0.31,6,1,3,61.8,59.0,4.31,4.33,2.67,0,136,0,0,0
0.44,1,4,3,58.4,60.0,5.05,4.99,2.93,0,137,0,0,0
1.1,2,6,4,61.5,55.0,6.65,6.68,4.1,0,138,1,1,0
1.51,5,3,4,60.5,56.0,7.45,7.42,4.5,0,139,1,1,0
0.57,5,1,4,62.3,54.0,5.3,5.35,3.32,1,140,1,0,1
0.58,4,3,3,61.5,58.0,5.35,5.41,3.31,0,141,0,0,0
0.9,2,1,2,61.6,57.0,6.19,6.25,3.83,1,142,1,0,1
2.02,3,6,3,61.1,58.0,8.04,8.1,4.93,1,143,1,0,1
0.76,4,5,2,59.8,61.0,5.92,5.96,3.55,1,144,1,0,1
0.25,3,3,2,61.9,57.0,4.05,4.08,2.51,0,145,0,0,0
0.9,2,2,1,63.9,58.0,6.08,6.03,3.87,1,146,1,0,1
0.38,7,2,4,62.2,54.0,4.64,4.69,2.9,0,147,0,0,0
1.01,5,0,2,63.0,56.0,6.35,6.41,4.02,0,148,1,1,0
1.39,1,2,1,63.8,55.0,7.05,7.08,4.51,1,149,1,0,1
0.27,3,2,4,60.3,56.0,4.24,4.27,2.56,0,150,0,0,0
1.01,1,2,2,62.5,58.0,6.39,6.41,4.0,1,151,1,0,1
0.51,4,1,4,61.4,56.0,5.14,5.16,3.16,0,152,0,0,0
2.0,1,3,1,64.3,56.0,7.93,7.89,5.09,1,153,1,0,1
1.12,4,3,4,62.5,54.0,6.65,6.69,4.17,1,154,1,0,1
1.0,1,0,2,63.2,56.0,6.38,6.33,4.02,1,155,1,0,1
0.31,3,2,4,61.9,55.0,4.35,4.31,2.68,1,156,0,1,1
0.71,2,2,3,59.8,61.0,5.81,5.79,3.47,1,157,1,0,1
0.41,7,3,2,60.9,59.0,4.8,4.85,2.94,0,158,0,0,0
1.52,3,3,3,62.0,58.0,7.39,7.33,4.56,0,159,1,1,0
1.5,2,3,2,60.1,61.0,7.28,7.4,4.41,1,160,1,0,1
0.4,3,1,2,62.2,58.0,4.67,4.72,2.92,1,161,0,1,1
1.04,2,2,4,61.3,56.0,6.55,6.5,4.0,1,162,1,0,1
0.33,3,5,4,62.4,56.0,4.43,4.39,2.75,0,163,0,0,0
1.24,5,3,4,61.4,58.0,6.88,6.92,4.24,1,164,1,0,1
1.0,3,3,1,63.1,61.0,6.33,6.38,4.01,1,165,1,0,1
0.58,3,3,4,62.3,53.7,5.35,5.38,3.34,0,166,0,0,0
0.47,2,6,4,61.9,55.0,5.0,5.05,3.11,0,167,0,0,0
0.31,6,4,3,62.6,58.0,4.33,4.29,2.7,1,168,0,1,1
0.9,2,1,4,62.0,56.0,6.18,6.2,3.84,0,169,1,1,0
0.41,4,1,4,61.7,55.0,4.75,4.78,2.94,0,170,0,0,0
1.08,1,3,3,60.7,60.0,6.64,6.61,4.02,0,171,1,1,0
0.23,5,1,2,59.0,63.0,3.98,4.05,2.37,0,172,0,0,0
0.38,4,1,4,60.7,56.0,4.7,4.72,2.86,0,173,0,0,0
0.31,3,2,3,62.7,59.0,4.3,4.34,2.71,0,174,0,0,0
1.55,2,2,4,61.9,55.0,7.47,7.42,4.61,1,175,1,0,1
0.32,6,3,4,62.4,55.0,4.38,4.37,2.73,0,176,0,0,0
1.41,2,4,2,62.9,57.0,7.04,7.08,4.44,1,177,1,0,1
0.31,6,2,4,61.8,56.0,4.36,4.34,2.69,0,178,0,0,0
0.3,3,4,3,62.3,58.0,4.31,4.33,2.69,0,179,0,0,0
0.44,3,5,2,62.5,57.0,4.85,4.88,3.04,0,180,0,0,0
0.54,4,0,3,60.5,58.0,5.27,5.21,3.17,0,181,0,0,0
0.3,2,2,3,60.9,58.0,4.37,4.3,2.64,0,182,0,0,0
1.56,1,1,4,61.2,56.0,7.53,7.49,4.59,1,183,1,0,1
2.01,1,2,4,61.9,55.0,8.1,8.05,5.0,1,184,1,0,1
0.7,4,6,3,60.9,58.0,5.73,5.66,3.47,1,185,0,1,1
0.31,7,2,4,62.2,56.0,4.31,4.34,2.69,1,186,0,1,1
0.54,4,2,2,61.6,59.0,5.26,5.2,3.22,0,187,0,0,0
0.41,3,2,4,62.8,57.0,4.76,4.73,2.98,1,188,0,1,1
0.36,4,1,4,61.4,54.0,4.59,4.63,2.83,0,189,0,0,0
0.5,2,1,4,61.6,57.0,5.09,5.13,3.15,0,190,0,0,0
1.52,3,6,1,63.1,61.0,7.19,7.23,4.55,1,191,1,0,1
0.5,5,2,2,60.8,59.0,5.08,5.11,3.1,1,192,0,1,1
0.38,2,3,2,62.0,54.8,4.64,4.67,2.89,0,193,0,0,0
1.0,4,2,4,61.9,57.0,6.41,6.39,3.96,0,194,1,1,0
1.11,4,6,2,59.9,56.0,6.8,6.77,4.07,0,195,1,1,0
0.8,4,3,2,62.7,56.0,5.9,5.94,3.71,1,196,1,0,1
1.01,2,2,2,62.7,57.0,6.32,6.38,3.98,1,197,1,0,1
0.51,4,3,4,62.5,57.0,5.14,5.07,3.19,0,198,0,0,0
0.31,2,2,3,60.6,60.0,4.37,4.34,2.64,0,199,0,0,0
0.32,4,1,1,64.3,59.0,4.28,4.34,2.77,0,200,0,0,0
2.35,1,5,3,59.9,58.0,8.68,8.61,5.18,1,201,1,0,1
0.36,3,3,4,62.3,54.0,4.59,4.62,2.87,0,202,0,0,0
0.3,4,1,4,62.1,58.0,4.27,4.3,2.66,0,203,0,0,0
0.3,2,0,4,61.0,58.0,4.32,4.33,2.64,0,204,0,0,0
0.45,4,3,4,62.8,58.0,4.83,4.88,3.05,0,205,0,0,0
1.01,2,2,3,62.5,58.0,6.42,6.39,4.0,0,206,1,1,0
1.01,5,3,3,61.4,58.0,6.46,6.51,3.98,1,207,1,0,1
0.58,5,3,2,62.1,58.0,5.35,5.4,3.34,1,208,0,1,1
0.52,2,2,4,61.8,55.0,5.19,5.15,3.2,1,209,0,1,1
0.71,2,2,1,64.3,57.0,5.62,5.55,3.59,0,210,0,0,0
2.08,1,5,1,63.8,58.0,8.02,8.1,5.14,1,211,1,0,1
0.34,5,3,3,61.2,59.0,4.5,4.46,2.74,0,212,0,0,0
1.02,3,2,3,62.4,59.0,6.4,6.45,4.01,1,213,1,0,1
0.44,1,4,3,59.3,60.0,5.01,4.98,2.96,0,214,0,0,0
0.77,6,3,2,62.7,54.0,5.84,5.89,3.67,1,215,1,0,1
0.7,4,3,2,63.0,60.0,5.57,5.64,3.53,1,216,1,0,1
0.36,2,0,1,63.2,56.0,4.52,4.56,2.87,1,217,0,1,1
1.03,1,3,2,63.9,59.0,6.33,6.39,4.07,1,218,1,0,1
0.9,1,1,2,62.6,58.0,6.1,6.16,3.84,1,219,1,0,1
0.5,3,1,0,65.4,57.0,5.01,4.81,3.21,0,220,0,0,0
0.75,3,3,4,60.6,55.0,5.91,5.93,3.59,0,221,1,1,0
0.24,6,3,2,62.3,59.0,3.92,3.95,2.45,0,222,0,0,0
0.81,7,4,4,61.6,58.0,5.98,6.01,3.69,1,223,1,0,1
0.32,3,2,4,62.4,57.0,4.38,4.34,2.72,0,224,0,0,0
0.51,2,4,3,61.9,56.0,5.13,5.12,3.17,0,225,0,0,0
0.5,4,0,4,62.2,54.4,5.07,5.11,3.16,0,226,0,0,0
0.71,2,1,3,59.1,61.0,5.84,5.8,3.44,1,227,1,0,1
0.78,1,3,2,63.7,55.9,5.82,5.85,3.72,0,228,0,0,0
1.08,2,0,4,61.3,56.0,6.63,6.72,4.09,1,229,1,0,1
0.31,2,0,4,61.2,57.0,4.38,4.34,2.67,1,230,0,1,1
0.92,3,3,1,63.4,57.0,6.17,6.23,3.93,0,231,1,1,0
1.14,3,2,3,62.0,59.0,6.71,6.64,4.14,1,232,1,0,1
1.01,1,1,2,63.3,58.0,6.39,6.37,4.04,0,233,1,1,0
0.82,2,4,0,64.9,58.0,5.82,5.77,3.76,1,234,1,0,1
0.28,6,2,2,62.9,57.0,4.13,4.17,2.61,1,235,0,1,1
0.32,1,3,2,60.7,61.0,4.42,4.47,2.7,0,236,0,0,0
0.23,6,2,2,60.7,55.0,3.98,4.0,2.42,1,237,0,1,1
0.46,7,3,4,62.5,57.0,4.89,4.94,3.07,1,238,0,1,1
0.7,4,5,4,62.4,56.0,5.66,5.68,3.54,0,239,0,0,0
1.5,0,5,1,62.6,63.0,7.19,7.25,4.52,0,240,1,1,0
0.91,2,3,3,62.6,58.0,6.17,6.14,3.85,0,241,1,1,0
1.15,3,3,4,59.2,56.0,6.88,6.83,0.0,1,242,1,0,1
0.75,4,5,2,63.3,57.0,5.82,5.74,3.66,0,243,0,0,0
1.75,3,5,4,61.0,56.0,7.82,7.75,4.75,1,244,1,0,1
1.22,3,3,3,61.2,58.0,6.81,6.91,4.2,1,245,1,0,1
0.32,1,2,3,59.7,59.0,4.43,4.48,2.66,0,246,0,0,0
0.91,3,0,4,60.9,57.0,6.26,6.32,3.83,0,247,1,1,0
2.04,1,4,3,62.7,56.0,8.12,8.06,5.07,1,248,1,0,1
0.57,3,1,4,61.6,56.0,5.33,5.38,3.3,0,249,0,0,0
2.05,4,6,3,62.5,60.0,8.14,8.09,5.07,1,250,1,0,1
0.41,3,3,3,59.7,59.0,4.84,4.81,2.88,0,251,0,0,0
0.37,3,3,3,59.3,60.0,4.67,4.71,2.78,0,252,0,0,0
0.52,2,6,2,62.5,59.0,5.14,5.16,3.22,1,253,0,1,1
0.71,3,1,2,63.2,57.0,5.66,5.63,3.56,1,254,1,0,1
0.5,5,3,4,61.2,56.0,5.1,5.13,3.13,0,255,0,0,0
1.66,5,6,3,62.6,59.0,7.58,7.54,4.73,1,256,1,0,1
2.01,1,3,3,59.8,58.0,8.21,8.15,4.89,1,257,1,0,1
0.3,6,5,3,62.5,60.0,4.27,4.24,2.66,1,258,0,1,1
0.31,4,4,4,62.4,55.0,4.33,4.36,2.71,0,259,0,0,0
0.31,5,3,3,61.5,58.0,4.31,4.34,2.66,0,260,0,0,0
0.7,4,2,3,62.1,60.0,5.71,5.65,3.53,1,261,1,0,1
0.51,5,3,4,61.6,56.0,5.14,5.12,3.16,0,262,0,0,0
1.51,3,2,1,64.0,59.0,7.16,7.08,4.56,1,263,1,0,1
1.02,1,2,3,59.9,59.0,6.56,6.59,3.94,1,264,1,0,1
0.35,2,0,3,62.1,58.0,4.51,4.54,2.81,0,265,0,0,0
1.15,3,3,4,61.6,55.0,6.74,6.76,4.16,0,266,1,1,0
0.9,3,5,0,65.8,55.0,6.05,6.01,3.97,1,267,1,0,1
0.73,1,1,4,60.9,57.0,5.8,5.83,3.54,1,268,1,0,1
1.08,3,2,3,62.8,59.0,6.55,6.47,4.09,0,269,1,1,0
1.05,1,1,2,63.3,57.0,6.5,6.46,4.1,1,270,1,0,1
1.52,1,0,3,62.8,58.0,7.37,7.28,4.6,1,271,1,0,1
0.9,2,1,3,60.7,61.0,6.19,6.17,3.75,1,272,1,0,1
1.08,3,3,4,62.1,57.0,6.57,6.54,4.07,1,273,1,0,1
1.5,2,3,2,62.2,58.0,7.21,7.28,4.51,1,274,1,0,1
0.9,5,3,1,63.6,58.0,6.11,6.1,3.88,1,275,1,0,1
0.5,3,0,2,62.8,60.0,5.02,5.08,3.17,0,276,0,0,0
0.4,6,1,2,62.9,56.0,4.67,4.71,2.95,0,277,0,0,0
0.31,6,2,4,61.9,55.0,4.37,4.42,2.72,0,278,0,0,0
0.41,5,1,4,61.4,57.0,4.79,4.76,2.93,1,279,0,1,1
0.55,3,1,4,60.3,57.0,5.3,5.28,3.19,0,280,0,0,0
0.8,3,2,4,62.1,56.0,5.93,5.98,3.7,1,281,1,0,1
0.45,5,1,4,61.9,56.0,4.91,4.95,3.05,1,282,0,1,1
0.92,2,5,3,58.8,59.0,6.36,6.33,3.73,1,283,1,0,1
0.56,4,1,2,62.0,58.9,5.25,5.29,3.27,0,284,0,0,0
0.52,4,2,2,61.7,56.0,5.14,5.17,3.18,0,285,0,0,0
1.0,1,2,2,62.2,55.0,6.39,6.44,3.99,0,286,1,1,0
0.3,3,6,4,61.9,56.0,4.3,4.33,2.67,0,287,0,0,0
0.9,2,1,2,61.5,62.0,6.15,6.2,3.8,0,288,1,1,0
1.0,3,4,1,63.9,57.0,6.32,6.26,4.02,1,289,1,0,1
1.0,3,1,3,63.0,58.0,6.25,6.22,3.93,0,290,1,1,0
0.52,1,1,1,63.7,56.0,5.12,5.15,3.27,0,291,0,0,0
0.54,1,5,2,62.9,57.0,5.18,5.21,3.27,0,292,0,0,0
0.71,3,5,4,63.1,57.0,5.66,5.71,3.59,0,293,0,0,0
0.34,7,3,4,60.1,57.0,4.58,4.54,2.74,0,294,0,0,0
0.8,1,0,4,61.5,58.0,5.97,6.0,3.68,1,295,1,0,1
0.68,1,1,2,63.1,54.5,5.61,5.64,3.55,0,296,0,0,0
1.16,5,3,2,61.6,58.0,6.67,6.73,4.13,1,297,1,0,1
0.37,2,0,4,61.9,54.0,4.62,4.65,2.87,0,298,0,0,0
0.33,3,3,3,59.3,61.0,4.51,4.49,2.67,1,299,0,1,1
0.32,7,3,4,61.2,57.0,4.43,4.4,2.7,0,300,0,0,0
1.57,2,2,4,62.4,56.0,7.46,7.41,4.64,1,301,1,0,1
1.0,3,0,2,59.6,60.0,6.52,6.57,3.9,1,302,1,0,1
0.55,2,1,4,61.7,54.0,5.26,5.27,3.25,0,303,0,0,0
1.5,1,1,1,61.5,65.0,7.21,7.17,4.42,1,304,1,0,1
1.6,1,2,3,61.1,58.0,7.57,7.53,4.61,1,305,1,0,1
0.31,3,3,4,62.3,56.0,4.34,4.29,2.69,0,306,0,0,0
0.38,3,3,1,58.8,62.0,4.68,4.71,2.76,0,307,0,0,0
1.0,5,2,2,60.0,62.0,6.43,6.46,3.87,1,308,1,0,1
1.11,1,3,1,59.7,61.0,6.72,6.69,4.0,1,309,1,0,1
0.41,2,3,3,61.7,59.0,4.71,4.73,2.91,0,310,0,0,0
0.38,4,4,4,62.4,53.0,4.67,4.69,2.92,1,311,0,1,1
1.08,1,4,4,61.0,57.0,6.64,6.6,4.04,1,312,1,0,1
0.9,2,2,2,63.3,57.0,6.1,6.16,3.88,0,313,1,1,0
0.33,3,4,3,62.3,58.0,4.41,4.38,2.74,0,314,0,0,0
0.42,3,1,4,62.4,55.0,4.83,4.79,3.0,0,315,0,0,0
0.34,4,1,4,62.0,56.0,4.52,4.48,2.79,1,316,0,1,1
0.38,2,1,4,62.3,53.0,4.65,4.69,2.91,0,317,0,0,0
1.48,2,4,2,62.5,59.0,7.16,7.23,4.5,1,318,1,0,1
0.51,6,1,4,62.0,57.0,5.12,5.14,3.18,1,319,1,0,1
1.03,1,1,2,61.7,54.9,6.46,6.52,4.01,1,320,1,0,1
0.5,3,2,3,61.9,56.0,5.13,5.08,3.16,0,321,0,0,0
0.51,5,3,1,63.3,58.0,5.04,5.07,3.2,0,322,0,0,0
2.02,1,2,3,61.0,59.0,8.2,8.13,4.98,1,323,1,0,1
1.54,3,3,2,63.0,59.0,7.3,7.36,4.62,0,324,1,1,0
0.51,3,3,3,62.6,57.0,5.15,5.1,3.21,0,325,0,0,0
0.3,3,3,4,63.0,56.0,4.3,4.27,2.7,0,326,0,0,0
1.0,1,0,2,62.5,58.0,6.35,6.44,4.0,1,327,1,0,1
0.35,1,2,1,63.8,56.0,4.48,4.45,2.85,0,328,0,0,0
1.3,1,2,3,61.6,58.0,7.07,6.92,4.33,1,329,1,0,1
1.02,1,0,4,61.7,58.0,6.41,6.49,3.98,0,330,1,1,0
0.3,4,4,4,61.6,57.0,4.33,4.3,2.66,0,331,0,0,0
0.7,1,4,4,61.6,54.0,5.71,5.75,3.53,0,332,0,0,0
0.31,7,1,1,64.2,60.0,4.22,4.28,2.73,0,333,0,0,0
0.56,3,1,4,61.6,57.0,5.3,5.32,3.27,0,334,0,0,0
1.06,4,5,4,61.2,57.0,6.59,6.56,4.03,1,335,1,0,1
0.44,3,4,3,61.3,58.0,4.88,4.91,3.0,1,336,0,1,1
0.37,3,1,4,62.0,57.0,4.63,4.6,2.86,0,337,0,0,0
0.31,6,0,3,61.1,56.0,4.42,4.35,2.68,1,338,0,1,1
1.51,4,4,3,62.1,58.0,7.32,7.26,4.53,1,339,1,0,1
1.03,1,4,3,62.3,59.0,6.46,6.42,4.01,1,340,1,0,1
1.01,3,1,4,62.5,54.0,6.39,6.42,4.0,1,341,1,0,1
0.3,5,3,4,60.9,57.0,4.32,4.35,2.64,0,342,0,0,0
1.18,0,0,2,61.5,62.0,6.73,6.88,4.19,1,343,1,0,1
0.9,1,4,4,62.8,55.0,6.18,6.11,3.86,1,344,1,0,1
1.24,1,4,4,59.5,61.0,6.98,7.03,4.17,0,345,1,1,0
0.24,7,3,4,60.8,58.0,4.01,4.05,2.44,0,346,0,0,0
