features/carat,features/clarity,features/color,features/cut,features/depth,features/table,features/x,features/y,features/z,label,id
0.9,1,3,4,61.5,57.0,6.07,6.19,3.77,1,53514
1.23,4,2,4,62.5,54.0,6.82,6.85,4.27,1,53515
0.61,3,3,1,61.2,62.8,5.38,5.42,3.3,0,53516
0.53,3,2,4,62.3,55.0,5.17,5.2,3.23,0,53517
0.42,3,1,3,60.9,59.0,4.81,4.85,2.94,0,53518
0.26,2,4,4,60.5,58.0,4.16,4.17,2.52,0,53519
0.5,4,1,1,58.2,61.0,5.19,5.22,3.03,0,53520
1.57,2,4,2,59.6,58.0,7.61,7.65,4.55,1,53521
0.9,7,5,2,62.6,59.0,6.12,6.15,3.84,1,53522
0.46,3,0,3,60.9,58.0,4.97,4.94,3.02,0,53523
0.73,3,4,4,62.0,54.0,5.79,5.83,3.6,1,53524
1.3,7,3,4,62.3,56.0,6.95,6.99,4.34,1,53525
0.72,1,0,4,60.5,57.0,5.82,5.89,3.54,1,53526
0.57,3,2,4,61.6,56.0,5.37,5.34,3.3,0,53527
0.79,1,2,1,64.3,60.0,5.82,5.75,3.72,0,53528
0.51,3,0,4,61.9,55.0,5.15,5.19,3.2,0,53529
1.01,1,1,2,61.5,56.0,6.45,6.47,3.97,1,53530
0.46,4,3,2,62.8,57.0,4.92,4.83,3.06,0,53531
1.01,2,1,2,61.1,57.0,6.43,6.46,3.94,1,53532
1.33,6,3,4,62.2,54.0,7.02,7.06,4.38,1,53533
1.01,5,3,2,59.4,58.0,6.51,6.53,3.93,1,53534
0.91,2,2,2,63.3,60.0,6.1,6.06,3.85,1,53535
0.61,5,4,3,60.9,60.0,5.47,5.5,3.34,0,53536
0.41,4,2,4,62.3,55.0,4.77,4.79,2.98,0,53537
1.71,4,3,3,62.3,58.0,7.61,7.65,4.75,1,53538
1.07,4,3,3,58.6,60.0,6.76,6.65,3.93,1,53539
0.23,5,1,4,62.8,57.0,3.91,3.96,2.47,0,53540
0.9,3,5,3,60.1,59.0,6.37,6.25,3.79,1,53541
1.28,2,4,4,61.8,57.0,7.02,6.97,4.32,1,53542
1.06,3,3,3,60.9,57.0,6.65,6.61,4.04,1,53543
1.03,4,1,3,61.4,58.0,6.52,6.58,4.02,1,53544
0.44,6,3,4,62.3,56.0,4.85,4.87,3.03,0,53545
0.35,3,1,4,61.7,56.0,4.52,4.56,2.8,0,53546
1.29,1,3,2,63.3,61.0,6.84,6.8,4.32,1,53547
0.3,5,3,2,61.8,59.0,4.22,4.26,2.62,0,53548
1.0,3,1,1,62.4,58.0,6.33,6.4,3.97,1,53549
1.16,3,5,2,62.6,59.0,6.63,6.69,4.17,1,53550
0.43,4,6,4,61.7,58.0,4.8,4.84,2.98,0,53551
1.1,1,4,4,63.1,58.0,6.54,6.53,4.12,1,53552
1.03,1,4,4,61.6,54.0,6.51,6.55,4.02,1,53553
0.53,2,0,4,61.2,57.0,5.24,5.19,3.19,0,53554
1.13,6,1,4,61.5,56.0,6.68,6.71,4.12,1,53555
1.93,3,4,3,62.8,58.0,7.91,7.86,4.95,1,53556
1.16,1,4,3,60.2,59.0,6.84,6.78,4.1,1,53557
0.54,3,0,3,61.7,58.0,5.24,5.16,3.21,0,53558
1.0,2,2,3,60.3,61.0,6.43,6.38,3.86,1,53559
0.37,3,2,2,59.2,61.0,4.63,4.69,2.76,0,53560
1.54,1,2,3,61.1,58.0,7.47,7.36,4.53,1,53561
0.72,4,0,2,64.1,57.0,5.68,5.71,3.65,1,53562
1.76,1,5,4,61.2,55.0,7.79,7.76,4.76,1,53563
1.0,3,3,2,62.8,57.0,6.33,6.37,3.99,1,53564
0.33,4,5,4,61.6,57.0,4.46,4.41,2.73,0,53565
0.31,2,2,1,63.1,55.0,4.28,4.34,2.72,0,53566
0.7,5,2,4,61.9,54.8,5.68,5.72,3.53,1,53567
0.51,5,2,2,62.0,55.0,5.11,5.14,3.17,0,53568
1.01,2,0,3,62.3,60.0,6.4,6.35,3.97,1,53569
0.54,2,0,1,64.1,55.0,5.15,5.11,3.29,0,53570
0.76,1,2,4,61.5,55.0,5.87,5.9,3.62,1,53571
1.04,2,3,3,60.3,58.0,6.6,6.55,3.96,1,53572
0.9,4,0,2,62.2,58.0,6.14,6.18,3.83,1,53573
0.33,4,3,4,61.4,54.0,4.48,4.44,2.74,0,53574
0.52,2,5,4,62.0,54.0,5.17,5.19,3.21,0,53575
0.3,7,3,4,60.9,57.0,4.35,4.39,2.66,0,53576
0.3,5,0,1,61.6,63.0,4.23,4.27,2.62,0,53577
0.7,3,3,1,63.8,59.0,5.51,5.55,3.53,0,53578
0.9,4,5,3,62.9,60.0,6.09,6.05,3.82,1,53579
1.71,3,3,3,59.3,60.0,7.86,7.81,4.65,1,53580
0.39,6,6,2,57.8,59.0,4.85,4.9,2.82,0,53581
0.63,4,3,2,59.9,57.0,5.57,5.62,3.35,0,53582
0.31,2,3,3,61.9,56.0,4.38,4.34,2.7,0,53583
0.9,2,2,2,61.7,60.0,6.16,6.22,3.82,1,53584
1.02,3,3,2,63.2,57.0,6.41,6.38,4.04,1,53585
1.05,0,1,2,62.2,61.0,6.48,6.51,4.04,1,53586
0.31,4,4,3,59.9,59.0,4.4,4.38,2.63,0,53587
0.9,2,0,3,62.2,60.0,6.14,6.08,3.8,1,53588
0.54,3,1,4,61.0,56.0,5.28,5.25,3.21,0,53589
1.38,6,2,4,62.9,56.0,7.04,7.1,4.45,1,53590
0.55,5,2,4,60.7,56.0,5.31,5.34,3.23,0,53591
0.7,2,4,4,60.5,57.0,5.81,5.79,3.51,1,53592
0.26,6,2,4,62.4,56.0,4.1,4.11,2.56,0,53593
0.31,6,4,4,62.0,54.0,4.34,4.37,2.7,0,53594
0.91,2,2,1,64.0,57.0,6.17,6.08,3.92,1,53595
1.01,4,4,3,61.6,57.0,6.47,6.38,3.96,1,53596
0.32,6,5,2,60.1,61.0,4.4,4.45,2.66,0,53597
0.6,3,1,4,61.2,56.0,5.45,5.44,3.33,0,53598
2.02,1,6,1,64.4,60.0,7.87,7.93,5.09,1,53599
0.41,1,3,3,61.4,58.0,4.8,4.75,2.93,0,53600
0.24,3,2,4,61.8,57.0,4.02,3.97,2.47,0,53601
0.31,6,3,4,61.3,60.0,4.33,4.38,2.67,0,53602
0.29,6,2,4,60.9,57.0,4.29,4.32,2.62,0,53603
0.36,5,3,4,61.6,57.0,4.58,4.62,2.83,0,53604
1.71,3,2,3,61.4,60.0,7.72,7.62,4.71,1,53605
1.17,2,2,4,63.0,54.0,6.71,6.66,4.21,1,53606
0.54,2,3,4,62.5,56.0,5.2,5.24,3.26,0,53607
1.1,3,5,4,62.0,56.0,6.67,6.62,4.12,1,53608
1.11,2,6,3,59.5,58.0,6.89,6.77,4.07,1,53609
0.34,5,5,3,61.5,60.0,4.49,4.45,2.75,0,53610
1.01,3,0,3,60.0,59.0,6.53,6.48,3.9,1,53611
0.81,1,5,3,61.5,60.0,5.94,5.9,3.64,0,53612
1.28,2,3,4,62.4,58.0,6.89,6.95,4.32,1,53613
0.39,7,2,2,60.8,55.0,4.73,4.77,2.89,0,53614
0.54,2,3,3,60.8,59.0,5.27,5.23,3.19,0,53615
1.21,4,6,4,62.3,55.0,6.86,6.81,4.26,1,53616
0.6,6,3,2,60.0,58.0,5.53,5.43,3.29,1,53617
0.32,1,3,2,62.3,58.0,4.37,4.42,2.74,0,53618
0.3,4,2,4,61.6,54.7,4.33,4.34,2.67,0,53619
1.09,3,3,3,61.0,59.0,6.65,6.6,4.04,1,53620
1.02,5,4,4,62.0,56.0,6.42,6.45,3.99,1,53621
0.33,3,3,2,59.3,61.0,4.49,4.51,2.67,0,53622
0.54,2,1,4,61.5,55.0,5.24,5.26,3.23,0,53623
0.41,2,1,2,62.9,57.0,4.73,4.78,2.99,0,53624
0.59,2,2,1,59.5,62.0,5.45,5.5,3.26,0,53625
0.52,4,1,4,62.6,57.0,5.11,5.15,3.21,0,53626
1.43,1,1,0,66.0,57.0,7.02,7.0,4.63,1,53627
0.3,1,3,3,62.7,55.0,4.29,4.26,2.68,0,53628
0.41,3,2,4,61.8,56.0,4.79,4.76,2.95,0,53629
1.12,1,0,3,61.2,59.0,6.7,6.66,4.09,1,53630
0.32,3,0,4,62.1,54.0,4.4,4.46,2.75,0,53631
0.5,3,1,3,61.8,58.0,5.11,5.05,3.14,0,53632
0.71,3,1,4,62.5,56.0,5.69,5.71,3.56,1,53633
0.3,6,3,4,61.8,56.0,4.34,4.37,2.69,0,53634
1.24,4,3,2,60.2,58.0,6.96,7.0,4.2,1,53635
0.51,1,0,4,59.8,55.0,5.17,5.23,3.11,0,53636
1.06,3,4,3,60.7,59.0,6.61,6.57,4.0,1,53637
0.78,2,4,3,60.0,60.0,5.93,5.92,3.62,1,53638
1.12,4,2,4,62.1,54.0,6.66,6.73,4.16,1,53639
0.5,2,0,0,64.6,61.0,5.05,4.95,3.23,0,53640
0.38,5,1,4,62.2,56.0,4.58,4.65,2.87,0,53641
1.0,3,2,1,62.5,57.0,6.34,6.42,3.99,1,53642
0.93,1,1,2,63.0,58.0,6.16,6.18,3.89,1,53643
0.81,2,3,2,60.7,56.0,6.06,6.09,3.69,1,53644
1.07,1,0,4,61.4,56.0,6.55,6.58,4.03,1,53645
0.7,1,1,3,62.0,60.0,5.72,5.67,3.53,0,53646
1.12,0,3,4,60.3,57.0,6.73,6.8,4.08,1,53647
1.34,3,2,4,62.5,56.0,7.09,7.05,4.42,1,53648
1.07,1,4,2,62.8,57.0,6.5,6.58,4.11,1,53649
0.8,4,2,2,63.6,57.0,5.82,5.91,3.73,1,53650
0.51,2,0,2,62.3,57.0,5.08,5.13,3.18,0,53651
1.52,2,5,1,64.0,58.0,7.27,7.2,4.63,1,53652
0.32,2,2,2,62.3,55.0,4.39,4.44,2.75,0,53653
0.51,4,4,2,62.5,58.0,5.09,5.12,3.19,0,53654
0.42,2,0,3,63.0,59.0,4.79,4.77,3.01,0,53655
0.77,3,2,3,62.1,59.0,5.85,5.87,3.64,1,53656
0.41,5,1,2,62.8,54.0,4.72,4.77,2.98,0,53657
1.6,3,3,3,62.2,59.0,7.45,7.48,4.64,1,53658
1.0,2,2,4,61.9,56.0,6.41,6.36,3.95,1,53659
0.41,3,2,4,60.0,56.0,4.82,4.88,2.91,0,53660
0.32,3,3,3,60.1,61.0,4.44,4.41,2.66,0,53661
0.33,6,2,4,61.1,55.0,4.48,4.52,2.75,0,53662
1.24,4,4,4,63.0,55.0,6.84,6.81,4.3,1,53663
1.0,1,4,1,63.8,55.0,6.28,6.24,4.0,1,53664
1.09,2,3,3,62.5,59.0,6.56,6.53,4.09,1,53665
1.02,3,5,4,61.5,57.0,6.49,6.45,3.98,1,53666
2.02,2,5,2,60.4,58.0,8.2,8.16,4.94,1,53667
0.9,4,5,4,62.4,57.0,6.17,6.21,3.86,1,53668
0.41,3,3,3,60.7,59.0,4.8,4.85,2.93,0,53669
1.47,1,4,3,59.3,59.0,7.39,7.34,4.37,1,53670
0.3,3,1,4,61.3,58.0,4.3,4.32,2.64,0,53671
0.3,3,4,2,63.5,58.0,4.27,4.24,2.7,0,53672
2.01,3,6,3,61.8,61.0,8.06,7.97,4.95,1,53673
1.56,2,3,4,61.2,56.0,7.49,7.51,4.59,1,53674
0.71,3,0,2,63.1,58.0,5.67,5.7,3.59,1,53675
2.15,1,4,4,60.3,59.0,8.34,8.41,5.05,1,53676
0.57,3,4,4,60.2,59.0,5.35,5.38,3.23,0,53677
0.5,4,2,4,62.5,52.4,5.07,5.11,3.18,0,53678
1.04,1,2,3,62.6,58.0,6.49,6.44,4.05,1,53679
1.01,2,4,3,61.9,59.0,6.35,6.32,3.92,1,53680
1.1,1,1,4,61.6,56.0,6.64,6.61,4.08,1,53681
0.9,1,3,4,62.5,56.0,6.15,6.2,3.86,1,53682
0.72,3,3,2,62.5,59.0,5.69,5.71,3.56,1,53683
2.01,1,4,1,63.1,55.0,7.99,8.09,5.07,1,53684
1.23,6,4,4,61.4,56.0,6.89,6.91,4.24,1,53685
1.01,2,1,1,63.6,60.0,6.38,6.32,4.04,1,53686
0.4,1,1,4,61.9,58.0,4.71,4.73,2.92,0,53687
0.42,7,3,4,62.7,56.0,4.76,4.77,2.99,0,53688
1.22,4,3,4,61.3,56.0,6.93,6.88,4.23,1,53689
0.2,3,2,3,62.6,59.0,3.73,3.71,2.33,0,53690
0.32,6,5,4,61.9,55.0,4.4,4.39,2.72,0,53691
0.31,4,5,3,62.3,59.0,4.35,4.29,2.69,0,53692
1.1,1,4,4,62.6,56.0,6.65,6.57,4.14,1,53693
0.32,6,3,4,61.1,55.0,4.45,4.48,2.73,0,53694
0.3,4,3,2,62.5,59.0,4.32,4.25,2.68,0,53695
0.34,3,4,3,61.1,58.0,4.5,4.47,2.74,0,53696
0.7,3,1,4,62.5,55.0,5.73,5.7,3.57,1,53697
1.34,1,4,3,61.6,60.0,7.05,6.97,4.32,1,53698
0.61,7,3,4,61.7,55.0,5.44,5.49,3.37,1,53699
0.54,2,1,2,63.2,57.0,5.15,5.2,3.27,0,53700
1.01,2,1,4,62.6,57.0,6.43,6.38,4.01,1,53701
1.06,1,5,2,61.4,56.5,6.55,6.58,4.03,1,53702
2.02,1,6,3,62.7,60.0,7.98,8.1,5.04,1,53703
1.01,5,3,2,60.8,59.0,6.42,6.5,3.93,1,53704
1.21,1,4,3,61.9,55.0,6.84,6.79,4.22,1,53705
0.3,1,1,4,60.9,59.0,4.29,4.32,2.62,0,53706
0.9,4,5,4,61.3,55.0,6.21,6.25,3.82,1,53707
0.36,2,4,4,62.4,53.0,4.58,4.59,2.86,0,53708
1.71,3,4,1,63.7,58.0,7.57,7.54,4.81,1,53709
2.07,1,6,4,62.5,56.0,8.18,8.08,5.08,1,53710
0.36,4,2,1,63.9,54.0,4.52,4.5,2.88,0,53711
1.01,2,4,4,62.6,55.0,6.42,6.36,4.0,1,53712
0.31,4,5,4,61.7,55.0,4.39,4.36,2.7,0,53713
0.93,2,4,0,64.6,58.0,6.13,6.07,3.94,1,53714
0.54,3,1,4,61.6,56.0,5.24,5.28,3.24,0,53715
0.3,2,1,4,61.7,55.0,4.33,4.36,2.68,0,53716
0.31,4,5,1,63.9,56.0,4.3,4.28,2.74,0,53717
0.32,4,3,4,61.6,55.0,4.43,4.46,2.74,0,53718
0.54,4,3,3,61.1,59.0,5.22,5.26,3.2,0,53719
1.31,1,4,3,60.0,57.0,7.1,7.07,4.25,1,53720
0.34,1,1,3,62.4,59.0,4.42,4.46,2.77,0,53721
0.34,2,5,3,59.2,61.0,4.58,4.57,2.71,0,53722
1.03,1,0,3,61.8,60.0,6.45,6.42,3.98,1,53723
0.77,3,0,3,61.2,59.0,5.91,5.86,3.6,1,53724
0.77,3,3,4,61.8,54.0,5.91,5.94,3.66,1,53725
1.0,1,2,1,63.4,60.0,6.28,6.33,4.0,1,53726
0.42,3,0,4,62.1,54.0,4.83,4.8,2.99,0,53727
0.31,4,1,4,61.9,54.4,4.33,4.37,2.69,0,53728
0.3,7,3,1,63.5,55.0,4.26,4.28,2.71,0,53729
2.01,2,4,3,58.2,62.0,8.26,8.21,4.79,1,53730
0.36,2,2,4,60.1,56.0,4.67,4.62,2.79,0,53731
1.03,2,0,4,62.2,56.0,6.48,6.45,4.02,1,53732
0.32,2,0,4,61.9,57.0,4.36,4.4,2.71,0,53733
1.79,3,6,3,62.5,60.0,7.76,7.69,4.83,1,53734
1.26,5,3,4,61.4,55.0,6.96,6.99,4.29,1,53735
1.61,3,2,4,62.1,57.0,7.49,7.56,4.67,1,53736
0.31,5,1,2,61.4,60.0,4.34,4.36,2.67,0,53737
0.71,2,2,4,62.5,57.0,5.68,5.74,3.57,0,53738
0.7,5,5,4,62.5,54.0,5.69,5.74,3.57,0,53739
0.9,3,2,0,65.7,57.0,6.03,5.99,3.95,1,53740
0.57,2,2,2,62.6,58.0,5.28,5.32,3.32,0,53741
0.8,2,1,3,61.5,58.0,5.97,5.93,3.66,1,53742
1.16,3,5,4,59.3,56.0,6.84,6.88,4.07,1,53743
0.34,5,3,4,61.6,56.0,4.49,4.47,2.76,0,53744
0.37,1,2,4,60.9,56.0,4.65,4.68,2.84,0,53745
0.31,3,1,4,62.8,57.0,4.37,4.33,2.73,0,53746
0.24,3,1,2,62.1,59.0,3.98,4.01,2.48,0,53747
0.71,1,1,4,62.3,57.0,5.66,5.74,3.55,0,53748
0.7,2,2,3,61.9,59.0,5.69,5.71,3.53,0,53749
0.32,3,4,4,62.2,57.0,4.36,4.38,2.72,0,53750
0.32,6,1,4,60.5,57.0,4.44,4.48,2.7,0,53751
0.41,2,2,2,63.3,58.0,4.74,4.71,2.99,0,53752
1.11,2,5,4,62.4,55.0,6.6,6.64,4.13,1,53753
0.83,1,0,2,63.1,57.0,5.95,5.9,3.74,1,53754
1.15,1,4,4,62.0,56.0,6.75,6.68,4.16,1,53755
1.17,2,4,3,62.6,59.0,6.78,6.71,4.22,1,53756
0.39,6,5,4,60.8,56.0,4.76,4.78,2.9,0,53757
0.61,6,5,4,61.9,56.0,5.41,5.45,3.36,0,53758
0.78,1,2,2,62.2,59.0,5.89,5.94,3.68,1,53759
0.56,5,4,4,61.8,56.0,5.28,5.33,3.28,0,53760
0.33,3,3,4,62.6,57.0,4.45,4.47,2.79,0,53761
0.56,3,3,4,61.0,57.0,5.32,5.34,3.25,0,53762
0.4,4,2,4,61.3,56.0,4.76,4.73,2.91,0,53763
0.57,3,2,1,62.8,62.0,5.22,5.25,3.29,0,53764
0.23,6,1,1,56.3,62.0,4.1,4.11,2.31,0,53765
0.35,7,5,4,61.8,55.0,4.55,4.57,2.82,0,53766
1.54,3,5,3,61.7,59.0,7.4,7.34,4.55,1,53767
0.71,2,3,2,62.4,57.0,5.66,5.69,3.54,0,53768
0.41,1,4,3,62.2,56.0,4.8,4.72,2.96,0,53769
0.32,5,4,4,61.4,54.0,4.4,4.43,2.71,0,53770
0.9,3,3,3,62.8,60.0,6.14,6.08,3.84,1,53771
0.71,4,2,4,62.3,55.0,5.74,5.76,3.58,1,53772
0.34,7,3,4,60.1,57.0,4.54,4.58,2.74,0,53773
0.38,4,5,3,61.3,60.0,4.62,4.65,2.84,0,53774
1.22,2,5,3,62.2,57.0,6.87,6.79,4.25,1,53775
0.33,7,4,2,61.2,56.0,4.46,4.5,2.74,0,53776
0.92,1,2,2,62.8,56.0,6.19,6.23,3.9,1,53777
0.27,4,0,2,63.2,55.0,4.1,4.16,2.61,0,53778
1.5,1,5,0,64.8,58.0,7.05,7.15,4.6,1,53779
0.51,4,3,4,61.9,56.0,5.1,5.14,3.17,0,53780
0.51,3,0,4,61.1,56.0,5.16,5.2,3.17,0,53781
0.5,6,2,4,60.4,56.0,5.16,5.21,3.13,0,53782
0.7,1,1,4,60.5,56.0,5.8,5.77,3.5,0,53783
1.01,2,0,2,61.1,58.0,6.46,6.51,3.96,1,53784
0.77,4,2,1,59.3,56.0,5.98,6.03,3.56,1,53785
0.92,1,2,3,58.9,59.0,6.38,6.35,3.75,1,53786
0.41,3,2,3,60.3,58.0,4.85,4.8,2.91,0,53787
1.02,1,1,4,62.3,56.0,6.42,6.37,3.98,1,53788
0.56,6,0,2,62.0,56.0,5.25,5.3,3.27,1,53789
1.03,3,3,4,59.6,57.0,6.65,6.6,3.95,1,53790
1.56,2,4,4,60.4,59.0,7.5,7.53,4.54,1,53791
1.1,1,4,3,58.9,57.0,6.86,6.82,4.03,1,53792
0.34,2,1,4,62.0,57.0,4.46,4.48,2.77,0,53793
0.59,7,0,4,60.9,60.0,5.41,5.39,3.29,1,53794
1.15,2,0,3,61.7,58.0,6.76,6.69,4.15,1,53795
0.4,5,1,4,61.7,57.0,4.73,4.77,2.93,0,53796
0.71,2,0,2,59.4,59.0,5.78,5.81,3.44,1,53797
0.4,3,1,3,62.0,58.0,4.73,4.69,2.92,0,53798
0.51,1,2,3,58.1,59.0,5.26,5.24,3.05,0,53799
1.0,3,1,0,66.4,51.0,6.31,6.22,4.16,1,53800
2.01,1,4,2,63.4,58.0,8.01,7.94,5.06,1,53801
2.3,1,4,4,61.6,56.0,8.48,8.52,5.24,1,53802
1.02,4,0,4,61.2,56.0,6.48,6.53,3.98,1,53803
1.2,6,1,4,60.1,61.0,6.83,6.91,4.13,1,53804
0.7,4,1,4,61.8,56.0,5.74,5.69,3.53,1,53805
1.71,3,3,2,62.5,58.0,7.56,7.66,4.76,1,53806
0.56,3,4,4,61.8,54.0,5.34,5.31,3.29,0,53807
0.75,4,1,4,61.8,55.0,5.85,5.87,3.62,1,53808
0.7,2,1,2,62.9,56.0,5.57,5.65,3.53,0,53809
0.4,1,4,4,62.6,55.0,4.73,4.76,2.97,0,53810
0.7,1,2,3,59.5,58.0,5.82,5.72,3.44,0,53811
1.7,3,4,1,63.3,57.0,7.54,7.59,4.79,1,53812
1.11,4,3,4,62.6,57.0,6.64,6.59,4.14,1,53813
0.53,5,1,4,61.8,55.0,5.16,5.19,3.2,1,53814
0.9,3,1,1,63.7,54.0,6.13,6.15,3.91,1,53815
0.71,2,4,4,62.3,54.0,5.74,5.76,3.58,0,53816
0.31,2,5,4,62.5,56.0,4.35,4.29,2.7,0,53817
0.41,7,3,4,61.7,56.0,4.77,4.8,2.95,0,53818
0.3,4,3,3,62.1,60.0,4.3,4.24,2.65,0,53819
0.37,3,1,3,60.2,58.0,4.65,4.68,2.81,0,53820
0.35,3,1,3,61.6,58.0,4.52,4.57,2.8,0,53821
1.33,3,3,3,58.6,61.0,7.21,7.17,4.21,1,53822
1.22,1,6,3,62.1,59.0,6.82,6.77,4.22,1,53823
0.23,7,4,2,63.9,55.0,3.89,3.9,2.49,0,53824
0.3,3,0,4,62.3,56.0,4.29,4.32,2.68,0,53825
0.38,6,0,4,61.8,56.0,4.63,4.66,2.87,0,53826
0.57,2,0,1,62.2,64.0,5.29,5.23,3.27,0,53827
0.53,2,0,3,60.0,58.0,5.24,5.29,3.16,0,53828
0.32,5,2,3,62.2,59.0,4.41,4.34,2.72,0,53829
1.24,3,5,3,62.1,55.0,6.91,6.87,4.28,1,53830
0.55,2,0,3,60.7,58.0,5.3,5.24,3.2,0,53831
0.42,4,2,4,61.9,57.0,4.81,4.79,2.97,0,53832
0.3,2,1,3,60.0,60.0,4.36,4.38,2.62,0,53833
0.54,3,0,4,61.3,56.0,5.26,5.22,3.21,0,53834
0.51,2,2,1,64.2,59.0,5.04,5.02,3.23,0,53835
1.01,4,3,2,59.1,58.0,6.56,6.63,3.9,1,53836
0.35,5,1,4,62.6,53.0,4.52,4.55,2.84,0,53837
